ICD10,PHECODE,Excl. Phecodes,Excl. Phenotypes
T03.3,830,830-839.99, joint disorders and dislocations; trauma-related
L74.0,705,705-706.99, disorders of sweat and sebaceous glands
S95.8,1007,,
K74.1,571.5,570-573.99, Liver disease
G36.8,341,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
G25.4,333.3,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
T75,1015,,
T03.3,842,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles
L87.0,701.1,700-701.99, hypertrophic skin conditions
C72.8,191.1,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
K03.5,521.4,520-526.99, Disorders of teeth and jaw
I40,420.1,420-425.99, Other peri-; endo-; and myocarditis
Q95.1,758.1,756-759.99, All other congenital anomalies
I08.3,394,394-399.99, heart valve disorders
G82.0,344,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
O65.8,654.1,652-654.99,Other and unspecified complications of birth affecting mother
S37.8,1008,,
G04.1,344,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
S74.1,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
B46.1,117,110-118.99, Mycoses
C93,204.3,200-204.99, cancer of lymphatic and hematopoietic tissue
G91.8,331.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
S92.1,801.1,800-809.99, Fractures
D05.9,174.1,"174-184.99, 610-610.99", cancer of female genital organs; breast dysplasia
A36.9,41,,
Q95,758.1,756-759.99, All other congenital anomalies
C83.0,202.2,200-204.99, cancer of lymphatic and hematopoietic tissue
N00.3,580.11,580-590.99, diseases of kidney and ureters
A31.9,31,,
P58.4,656.8,656-656.99,Other and unspecified perinatal conditions
T83.6,857,850-859.99, Complications
N08.4,580.2,580-590.99, diseases of kidney and ureters
S92.1,801,800-809.99, Fractures
B37.7,112,110-118.99, Mycoses
C18,153.2,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
L92.0,695.8,690-697.99, Other inflammatory condition of skin
T83.6,81,,
L59.0,938,930-949.99, allergic reactions
N17.2,585.1,580-590.99, diseases of kidney and ureters
I83.0,454.11,450-457.99, diseases of veins and lymphatics
Q79.9,756,754-756.99, congenital musculoskeletal anomalies
E25.9,255.3,251-259.99,Other endocrine disorders
L70.3,706.1,705-706.99, disorders of sweat and sebaceous glands
M54,760,760-760.99, Back pain
T47.1,973,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
P05,637,634-639.99," miscarriage, early labor, hemorrhage"
P24.2,656,656-656.99,Other and unspecified perinatal conditions
B59,480.3,480-488.99, Pneumonia and influenza
A43.0,480.1,480-488.99, Pneumonia and influenza
F31.6,296.1,295-306.99, psychological disorders
F17.9,318,316-319.99, Substance-related disorders
M08.0,714.2,"714-716.00, 696-696.99", Autoimmune arthritis and psoriasis
N81,618.1,617-618.99, prolapse/fistula and other disorders often associated with childbirth
Q30.9,749,748-749.99," congenital anomalies of respiratory system, face and neck"
J60,500.2,500-509.99, Pneumoconioses and other lung diseases
C71.4,191.11,"224-225.99, 190-192.99"," cancer/benign neoplasm of eye, brain, nervous system"
G99.8,349,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
P04.0,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
M53.0,767,763-767.99," neuralgia, neuritis, and radiculitis,"
T03.1,830,830-839.99, joint disorders and dislocations; trauma-related
H21,379.5,375-379.99, other eye disorders
J38.2,473,470-479.99, other/chronic upper respiratory disease
T03.1,842,840-848.99,Sprains And Strains Of Joints And Adjacent Muscles
B58.2,323,320-326.9,INFLAMMATORY DISEASES OF THE CENTRAL NERVOUS SYSTEM
R68.8,1005,,
M12,716.9,710-716.99,Arthropathies
T15-T19.9,1001,,
Z64.4,654,652-654.99,Other and unspecified complications of birth affecting mother
R46.6,1019,,
C21.1,153.3,"150-159.99, 208-208.99", GI cancer; benign neoplasms of colon
H26.3,366,366-366.99,Cataract
K35.0,540.11,540-540.99, appendicitis and other appendiceal conditions
G82.3,344,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
K77,573,570-573.99, Liver disease
O22,671,670-677.99,COMPLICATIONS OF THE PUERPERIUM
Q17.1,749,748-749.99," congenital anomalies of respiratory system, face and neck"
T34.2,1014,,
G46.2,433.31,430-438.99,CEREBROVASCULAR DISEASE
B37.9,112,110-118.99, Mycoses
T79-T79.9,958,958-959.99,Certain traumatic complications and unspecified injuries
O30.0,651,651-651.99,Multiple gestation
P22,661,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
K26.5,531.3,531-531.99, gastro ulcer
G90-G99.9,349,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
P02,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
M12,741,741-742.99, other non-traumatic joint disorders
A04.1,8.51,,
T83.0,857,850-859.99, Complications
O64.4,652,652-654.99,Other and unspecified complications of birth affecting mother
T79-T79.9,907,905-909.99,"Late effects of injuries, poisonings, toxic effects, and other external causes"
C02.8,145.2,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
K09.9,528.4,527-529.99, Diseases of mouth; excluding dental
A08.1,8.6,,
M92.3,732.1,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
Q33.0,748,748-749.99," congenital anomalies of respiratory system, face and neck"
C61,185,"185-187.99, 796-796.99, 600-602.99", male genital disorders/cancer/neoplasms; elevated psa
A96.1,79,,
P78.9,656.6,656-656.99,Other and unspecified perinatal conditions
B40.2,117.3,110-118.99, Mycoses
Z24.3,1010,,
H53,368,368-368.99,Visual disturbances/defects
M54.1,766,763-767.99," neuralgia, neuritis, and radiculitis,"
I78.1,217.1,216-217.99,Benign neoplasm of skin
I42,425.1,420-425.99, Other peri-; endo-; and myocarditis
I45.8,426.8,426-427.99, cardiac conduction disorders
E73.0,271.3,271-271.99,Disorders of carbohydrate transport &amp; metabolism
D60-D64.9,284,280-285.99,Anemias
A64,90,,
D30.0,223,210-229.99,Benign Neoplasms
P37.5,657,657-657.99,Infections specific to the perinatal period
Q44,750.22,750-751.99," congenital anomalies of gi, urinary tract"
H11.1,372,369-374.99, infection/inflammation of eye
K76.7,571.8,570-573.99, Liver disease
E06.2,245.2,240-246.99,DISORDERS OF THYROID GLAND
O36.7,655,655-655.99,Known or suspected fetal abnormality (mother)
D10.5,210,"140-149.99, 210-210.99","Cancer/benign neoplams of lip, oral cavity, pharynx"
C50-C50.9,174.11,"174-184.99, 610-610.99", cancer of female genital organs; breast dysplasia
I80.2,451.2,450-457.99, diseases of veins and lymphatics
S99.8,1009,,
Q22.5,747.12,747-747.99," congenital anomalies, circulatory and cardiac"
S51.8,871,870-879.99, Open wound
S61.7,871,870-879.99, Open wound
A36.8,41,,
L24.5,939,930-949.99, allergic reactions
I78.0,448,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
I66.8,433.2,430-438.99,CEREBROVASCULAR DISEASE
H20.0,371.1,369-374.99, infection/inflammation of eye
I95-I99.9,459.9,458-459.99, other circulatory symptoms/findings/disorders
T81.3,1015,,
G57.9,351,351-355.99, mononeuritis and nerve lesions
N90.4,624.1,624-625.99, symptoms involving female genital tract
M43.9,737,735-739.99, Acquired deformities
Q66.3,755.1,754-756.99, congenital musculoskeletal anomalies
K14.6,529.6,527-529.99, Diseases of mouth; excluding dental
M46.3,710,710-716.99,Arthropathies
E14.8,250,249-250.99,DIABETES
S05.0,915,910-919.99,"superficial, contusion, crushing injuries"
T73.1,1015,,
B16.9,70.2,,
H26.4,366,366-366.99,Cataract
E11,250.2,249-250.99,DIABETES
S05.0,870.1,870-879.99, Open wound
S05.0,916,916-916.99, Contusion
O25,649,649-649.99," Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
R83.8,346.3,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
I77.9,447,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
Q83.1,612.3,610-613.99, nonmalignant breast conditions
L94.5,696.2,690-697.99, Other inflammatory condition of skin
T41.2,967,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
C90.0,204.4,200-204.99, cancer of lymphatic and hematopoietic tissue
R41.2,292.3,290-292.99, dementia and related cognitive disorders/symptoms
Q52.1,751.11,750-751.99," congenital anomalies of gi, urinary tract"
A49,41,,
K31.8,537,535-537.99, disorders of stomach
O62.9,661,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
G80.2,343,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
G54.9,353,351-355.99, mononeuritis and nerve lesions
L53.1,695.1,690-697.99, Other inflammatory condition of skin
L50.4,947,930-949.99, allergic reactions
C22.0,155.1,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
E29.8,257,251-259.99,Other endocrine disorders
T73.0,1015,,
I86.1,454,450-457.99, diseases of veins and lymphatics
R25.0,350.1,350-350.99," Other symptoms, reflex"
J00,465,460-469.99, acute upper respiratory infections
H40.6,365,360-365.99, Degenerative disorders of the eye
H74.3,385.5,381-385.99, otitis media and related conditions
H53.3,368.2,368-368.99,Visual disturbances/defects
C57.1,184.1,"174-184.99, 220-221.99", cancer of female genital organs; benign neoplasm of female genital organs
N64.5,613.7,613-613.99, other nonmalignant breast conditions
G20,332,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
E85,270.33,269-270.99, Disorders of amino-acid transport/metabolism
F07.2,291.4,290-292.99, dementia and related cognitive disorders/symptoms
L63.9,704.11,703-704.99, Diseases of hair and nails
S41.1,871,870-879.99, Open wound
M24.3,742.9,741-742.99, other non-traumatic joint disorders
C62.0,187.2,"185-187.99, 222-222.99", cancer/benign neoplasm of male genital organs
K38.3,540,540-540.99, appendicitis and other appendiceal conditions
E04.8,241,240-246.99,DISORDERS OF THYROID GLAND
J96.9,509.2,500-509.99, Pneumoconioses and other lung diseases
R07.3,418,418-418.99, Nonspecific chest pain
S01.4,870.3,870-879.99, Open wound
B36.3,110.2,110-118.99, Mycoses
T19.1,1001,,
O03,634,634-636.99,complications of pregnancy
F06.3,296,295-306.99, psychological disorders
G37.2,341,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
I46,427.42,426-427.99, cardiac conduction disorders
J96.9,509.1,500-509.99, Pneumoconioses and other lung diseases
B50.9,133,130-136.99, Other infections; including parasitic
D70-D77.9,289,288-289.99,Other diseases of the blood
A51.1,90,,
K43.9,550.5,550-550.99, Abdominal hernia
M35.5,709.6,"690-697.99, 708-709.99",
I31.3,420.2,420-425.99, Other peri-; endo-; and myocarditis
P81.8,656.7,656-656.99,Other and unspecified perinatal conditions
P01.2,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
B46.4,117,110-118.99, Mycoses
F71,315.3,312-315.99,Developmental/behavioral disorders
T81.0,850,850-859.99, Complications
O62.1,661,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
M76.4,726.3,725-729.99,"Rheumatism, Excluding The Back"
T34.0,1014,,
R06,513,513-513.99, Respiratory abnormalities
S29.9,1009,,
P01,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
K43.9,550,550-550.99, Abdominal hernia
N03.0,580.14,580-590.99, diseases of kidney and ureters
D01.7,159,"140-159.99, 210-211.99", cancer/benign neoplasm of gi tract
G91.3,331.1,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
Z03.0,1010,,
E28.2,256.4,251-259.99,Other endocrine disorders
N35.8,597.1,595-597.99, other diseases of urinary system
R59.1,289.4,288-289.99,Other diseases of the blood
D53.2,281,280-285.99,Anemias
R84.7,1010,,
I42.3,425.1,420-425.99, Other peri-; endo-; and myocarditis
C94.3,204,200-204.99, cancer of lymphatic and hematopoietic tissue
N18.9,585.3,580-590.99, diseases of kidney and ureters
M30.2,446.6,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
K22.4,530.5,"530-530.99, 532-532.99", esophageal disorders
M17.3,836,830-839.99, joint disorders and dislocations; trauma-related
N43.4,603.2,600-609.99, male genital disorders
M06.8,714.1,"714-716.00, 696-696.99", Autoimmune arthritis and psoriasis
N04.0,580.12,580-590.99, diseases of kidney and ureters
T43.1,969,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
J80-J84.9,509.2,500-509.99, Pneumoconioses and other lung diseases
D17.6,214,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
E87.4,276.4,276-276.99,"Disorders of fluid, electrolyte, and acid-base balance"
H73.0,384.1,381-385.99, otitis media and related conditions
Q68.3,755.6,754-756.99, congenital musculoskeletal anomalies
A22.7,38.2,,
M53.9,721.8,720-724.99,DORSOPATHIES
A52.1,90,,
R09.3,516,516-516.99, Abnormal sputum
M85.3,733,730-739.99,"OSTEOPATHIES, CHONDROPATHIES, AND ACQUIRED MUSCULOSKELETAL DEFORMITIES"
F25,295.1,295-306.99, psychological disorders
S11,870.6,870-879.99, Open wound
A40.2,41.2,,
L44.3,695.7,690-697.99, Other inflammatory condition of skin
E76.9,271.9,271-271.99,Disorders of carbohydrate transport &amp; metabolism
G36.0,341,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
R82.1,598,598-598.99, Nonspecific findings on examination of urine
K07.6,526.41,520-526.99, Disorders of teeth and jaw
S66.7,1009,,
H01,371.3,369-374.99, infection/inflammation of eye
Q16,749,748-749.99," congenital anomalies of respiratory system, face and neck"
P14.8,665,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
B66.3,134,130-136.99, Other infections; including parasitic
Y46.0,966,960-979.99,"Poisoning By Drugs, Medicinal And Biological Substances"
G97.0,1011,,
E67.1,278,278-278.99, Obesity
E15-E16.9,251.1,249-259.99,Endocrine disorders and DM
K04.6,522.5,520-526.99, Disorders of teeth and jaw
Q72.4,755.6,754-756.99, congenital musculoskeletal anomalies
I20.0,411.1,410-414.99,ISCHEMIC HEART DISEASE
H11.4,372,369-374.99, infection/inflammation of eye
A40.2,38.1,,
M53.9,742.9,741-742.99, other non-traumatic joint disorders
R44,1019,,
F00.1,290.11,290-292.99, dementia and related cognitive disorders/symptoms
S96.0,1009,,
A49.3,41,,
G93.1,348,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
M95,738,735-739.99, Acquired deformities
G43.9,340,339-340.99,Headache; including migraine
N41.9,601.1,"185-187.99, 796-796.99, 600-602.99", male genital disorders/cancer/neoplasms; elevated psa
E67.3,278,278-278.99, Obesity
K60.3,565,565-569.99, Other gastrointestinal
T25.7,1000,,
N62,612.2,610-613.99, nonmalignant breast conditions
Q18.8,749,748-749.99," congenital anomalies of respiratory system, face and neck"
H31.8,363,360-365.99, Degenerative disorders of the eye
Q51.5,751.11,750-751.99," congenital anomalies of gi, urinary tract"
K28.4,531.1,531-531.99, gastro ulcer
F84.5,313.3,312-315.99,Developmental/behavioral disorders
P71.1,656.3,656-656.99,Other and unspecified perinatal conditions
O10.4,642,642-642.99," Hypertension complicating pregnancy, childbirth, and the puerperium"
I67.2,433.12,430-438.99,CEREBROVASCULAR DISEASE
S36.5,1008,,
R18,572,570-573.99, Liver disease
Q67.4,749,748-749.99," congenital anomalies of respiratory system, face and neck"
J30.0,476,470-479.99, other/chronic upper respiratory disease
P04.2,658,658-658.99,Maternal complication of pregnancy affecting fetus or newborn
J03.8,474.1,470-479.99, other/chronic upper respiratory disease
G80.0,343,"330-337.99, 341-349.99", hereditary/degenerative nervous conditions; other diseases of CNS
N20.9,594,594-595.99, urinary calculus
K63.3,556.1,555-564.99, noninfective gastrointestinal disorders
K28.5,531.5,531-531.99, gastro ulcer
Y31,297,295-306.99, psychological disorders
A44.1,133,130-136.99, Other infections; including parasitic
Q66.9,755.1,754-756.99, congenital musculoskeletal anomalies
S77,1006,,
S99.9,1009,,
T62.0,988,981-989.99, Toxic effects of substances chiefly nonmedicinal as to source
C49.8,170.2,170-171.99,"Cancer of bone, connective tissue"
A07.8,8.7,,
C76.0,195.3,,
Q32.1,748,748-749.99," congenital anomalies of respiratory system, face and neck"
Z90.5,175,"174-184.99, 610-611.99",
I78.8,448,440-449.99,"DISEASES OF ARTERIES, ARTERIOLES, AND CAPILLARIES"
K82.2,575.7,574-576.99, Biliary tract disease
P22.9,661,660-669.99,COMPLICATIONS OCCURRING MAINLY IN THE COURSE OF LABOR AND DELIVERY
I30.9,420.21,420-425.99, Other peri-; endo-; and myocarditis
A67.0,130,130-136.99, Other infections; including parasitic
O99.7,649,649-649.99," Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium"
A28.0,41,,
H67.8,381.1,381-385.99, otitis media and related conditions
A17.9,10,,
D21.4,215,214-215.99,Lipoma and Other benign neoplasm of connective and other soft tissue
L85.3,706.8,705-706.99, disorders of sweat and sebaceous glands
B69,134.1,130-136.99, Other infections; including parasitic
Q92.1,758.1,756-759.99, All other congenital anomalies
M33.2,709.4,"690-697.99, 708-709.99",
N00-N99.9,599,599-599.99, Other symptoms/disorders or the urinary system
I88,289.4,288-289.99,Other diseases of the blood
